lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.02,2023-04-24 12:45:20.151622,,,,,,,,,,,,,,
,2023-04-24 12:45:21.100227,0.03083539754152298,0.00012171587877674028,0.03083539754152298,49.0,0.0,,,,,,,,,
0.02,2023-04-24 12:46:08.661966,,,,,,,,,,,,,,
,2023-04-24 12:46:09.650780,0.3431401252746582,0.020104359835386276,0.3431401252746582,99.0,0.0,,,,,,,,,
0.02,2023-04-24 12:46:59.215669,,,,,,,,,,,,,,
,2023-04-24 12:47:00.227622,0.35129469633102417,0.0027529734652489424,0.35129469633102417,149.0,0.0,,,,,,,,,
,2023-04-24 12:47:28.390731,,,,,0.0,0.1285642832517624,0.0007730138022452593,0.1285642832517624,0.23667731881141663,0.0018541624303907156,0.23667731881141663,,,
,2023-04-24 12:47:28.434906,,,,,0.0,,,,,,,0.15267017483711243,0.0034847783390432596,0.15267017483711243
0.02,2023-04-24 12:47:53.558716,,,,,,,,,,,,,,
,2023-04-24 12:47:54.582833,0.17620280385017395,0.0009183901129290462,0.17620280385017395,199.0,1.0,,,,,,,,,
0.02,2023-04-24 12:48:45.875488,,,,,,,,,,,,,,
,2023-04-24 12:48:46.927395,0.08898352831602097,0.00044937318307347596,0.08898352831602097,249.0,1.0,,,,,,,,,
0.02,2023-04-24 12:49:38.932979,,,,,,,,,,,,,,
,2023-04-24 12:49:39.991762,0.13154202699661255,0.0004747576895169914,0.13154202699661255,299.0,1.0,,,,,,,,,
0.02,2023-04-24 12:50:32.504349,,,,,,,,,,,,,,
,2023-04-24 12:50:33.570684,0.1739988625049591,0.0007372500840574503,0.1739988625049591,349.0,1.0,,,,,,,,,
,2023-04-24 12:50:36.341106,,,,,1.0,0.1582452952861786,0.0008153156959451735,0.1582452952861786,0.11761045455932617,0.0004377003060653806,0.11761045455932617,,,
,2023-04-24 12:50:36.404777,,,,,1.0,,,,,,,0.1469821184873581,0.0028803052846342325,0.1469821184873581
0.02,2023-04-24 12:51:29.386384,,,,,,,,,,,,,,
